PUB ID,Publication Year,Author List,Title,Journal,DOI,Url
PUB013,2021,"Park, Jongmin; Won, Chang Won; Saligan, Leorey N.; Kim, Youn-Jung; Kim, Yoonju; Lukkahatai, Nada",Accelerated Epigenetic Age in Normal Cognitive Aging of Korean Community-Dwelling Older Adults,Biological Research For Nursing,10.1177/1099800420983896,https://doi.org/10.1177/1099800420983896
PUB014,2022,"Yusipov, Igor; Kondakova, Elena; Kalyakulina, Alena; Krivonosov, Mikhail; Lobanova, Nadezhda; Bacalini, Maria Giulia; Franceschi, Claudio; Vedunova, Maria; Ivanchenko, Mikhail",Accelerated epigenetic aging and inflammatory/immunological profile (ipAGE) in patients with chronic kidney disease,GeroScience,10.1007/s11357-022-00540-4,https://doi.org/10.1007/s11357-022-00540-4
PUB015,2023,"Manczak, Erika M.; Scott, Samantha R.; Millwood, Summer N.",Accelerated epigenetic aging at birth interacts with parenting hostility to predict child temperament and subsequent psychological symptoms,Development and Psychopathology,10.1017/S0954579421000614,https://www.cambridge.org/core/journals/development-and-psychopathology/article/accelerated-epigenetic-aging-at-birth-interacts-with-parenting-hostility-to-predict-child-temperament-and-subsequent-psychological-symptoms/B0F60B96F58D268149257860BA5C54DE
PUB016,2022,"Hoare, Jacqueline; Stein, Dan J.; Heany, Sarah J.; Fouche, Jean-Paul; Phillips, Nicole; Er, Sebnem; Myer, Landon; Zar, Heather J.; Horvath, Steve; Levine, Andrew J.",Accelerated epigenetic aging in adolescents living with HIV is associated with altered development of brain structures,Journal of NeuroVirology,10.1007/s13365-021-00947-3,https://doi.org/10.1007/s13365-021-00947-3
PUB017,2021,"Fransquet, P.D.; Lacaze, P.; Saffery, R.; Shah, R.C.; Vryer, R.; Murray, A.; Woods, R.L.; Ryan, J.",Accelerated Epigenetic Aging in Peripheral Blood does not Predict Dementia Risk,Current Alzheimer research,10.2174/1567205018666210823100721,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8764717/
PUB018,2022,"Klopack, Eric T.; Crimmins, Eileen M.; Cole, Steve W.; Seeman, Teresa E.; Carroll, Judith E.",Accelerated epigenetic aging mediates link between adverse childhood experiences and depressive symptoms in older adults: Results from the Health and Retirement Study,SSM - Population Health,10.1016/j.ssmph.2022.101071,https://www.sciencedirect.com/science/article/pii/S2352827322000507
PUB019,2022,"Strath, L. J.; Meng, L.; Rani, A.; Sinha, P.; Johnson, A. J.; Huo, Z.; Foster, T. C.; Edburg, J. D.; Fillingim, R. B.; Cruz-Almeida, Yenisel",Accelerated Epigenetic Aging Mediates the Association between Vitamin D Levels and Knee Pain in Community-Dwelling Individuals,"The journal of nutrition, health & aging",10.1007/s12603-022-1758-z,https://doi.org/10.1007/s12603-022-1758-z
PUB020,2021,"Paul, Kimberly C; Binder, Alexandra M; Horvath, Steve; Kusters, Cynthia; Yan, Qi; Rosario, Irish Del; Yu, Yu; Bronstein, Jeff; Ritz, Beate","Accelerated hematopoietic mitotic aging measured by DNA methylation, blood cell lineage, and Parkinson's disease",BMC Genomics,10.1186/s12864-021-08009-y,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8474781/
PUB022,2023,"Allen, Joseph P.; Danoff, Joshua S.; Costello, Meghan A.; Loeb, Emily L.; Davis, Alida A.; Hunt, Gabrielle L.; Gregory, Simon G.; Giamberardino, Stephanie N.; Connelly, Jessica J.",Adolescent peer struggles predict accelerated epigenetic aging in midlife,Development and Psychopathology,10.1017/S0954579422000153,https://www.cambridge.org/core/journals/development-and-psychopathology/article/adolescent-peer-struggles-predict-accelerated-epigenetic-aging-in-midlife/04B92FC0AF146607EC21BED55BAEB8BE
PUB023,2021,"Talarico, Fernanda; Xavier, Gabriela; Ota, Vanessa Kiyomi; Spindola, Leticia M.; Maurya, Pawan Kumar; Tempaku, Priscila Farias; Moretti, Patr°cia S.; Gadelha, Ary; Noto, Mariane; Noto, Cristiano; Cordeiro, Quirino; Bressan, Rodrigo A.; de Jong, Simone; Santoro, Marcos L.; Breen, Gerome; Belangero, Sintia I.",Aging biological markers in a cohort of antipsychotic-naãve first-episode psychosis patients,Psychoneuroendocrinology,10.1016/j.psyneuen.2021.105350,https://www.sciencedirect.com/science/article/pii/S0306453021002249
PUB024,2021,"Borsky, Pavel; Chmelarova, Marcela; Fiala, Zdenek; Hamakova, Kvetoslava; Palicka, Vladimir; Krejsek, Jan; Andrys, Ctirad; Kremlacek, Jan; Rehacek, Vit; Beranek, Martin; Malkova, Andrea; Svadlakova, Tereza; Holmannova, Drahomira; Borska, Lenka",Aging in psoriasis vulgaris: female patients are epigenetically older than healthy controls,Immunity & Ageing,10.1186/s12979-021-00220-5,https://doi.org/10.1186/s12979-021-00220-5
PUB026,2022,"Thrush, Kyra L.; Bennett, David A.; Gaiteri, Christopher; Horvath, Steve; van Dyck, Christopher H.; Higgins-Chen, Albert T.; Levine, Morgan E.",Aging the brain: multi-region methylation principal component based clock in the context of Alzheimer's disease,Aging (Albany NY),10.18632/aging.204196,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9365556/
PUB027,2021,"Kresovich, Jacob K; Martinez Lopez, Alexandra M; Garval, Emma L; Xu, Zongli; White, Alexandra J; Sandler, Dale P; Taylor, Jack A",Alcohol Consumption and Methylation-Based Measures of Biological Age,The Journals of Gerontology: Series A,10.1093/gerona/glab149,https://doi.org/10.1093/gerona/glab149
PUB029,2021,"Hillary, Robert F.; Stevenson, Anna J.; Cox, Simon R.; McCartney, Daniel L.; Harris, Sarah E.; Seeboth, Anne; Higham, Jon; Sproul, Duncan; Taylor, Adele M.; Redmond, Paul; Corley, Janie; Pattie, Alison; Hern†ndez, Maria del C. ValdÇs; Mu§oz-Maniega, Susana; Bastin, Mark E.; Wardlaw, Joanna M.; Horvath, Steve; Ritchie, Craig W.; Spires-Jones, Tara L.; McIntosh, Andrew M.; Evans, Kathryn L.; Deary, Ian J.; Marioni, Riccardo E.",An epigenetic predictor of death captures multi-modal measures of brain health,Molecular Psychiatry,10.1038/s41380-019-0616-9,https://www.nature.com/articles/s41380-019-0616-9
PUB030,2021,"Heinsberg, Lacey W.; Ray, Mitali; Conley, Yvette P.; Roberts, James M.; Jeyabalan, Arun; Hubel, Carl A.; Weeks, Daniel E.; Schmella, Mandy J.",An Exploratory Study of Epigenetic Age in Preeclamptic and Normotensive Pregnancy Reveals Differences by Self-Reported Race but Not Pregnancy Outcome,Reproductive Sciences,10.1007/s43032-021-00575-6,https://doi.org/10.1007/s43032-021-00575-6
PUB031,2021,"Sayed, Nazish; Huang, Yingxiang; Nguyen, Khiem; Krejciova-Rajaniemi, Zuzana; Grawe, Anissa P.; Gao, Tianxiang; Tibshirani, Robert; Hastie, Trevor; Alpert, Ayelet; Cui, Lu; Kuznetsova, Tatiana; Rosenberg-Hasson, Yael; Ostan, Rita; Monti, Daniela; Lehallier, Benoit; Shen-Orr, Shai S.; Maecker, Holden T.; Dekker, Cornelia L.; Wyss-Coray, Tony; Franceschi, Claudio; Jojic, Vladimir; Haddad, Franáois; Montoya, JosÇ G.; Wu, Joseph C.; Davis, Mark M.; Furman, David","An inflammatory aging clock (iAge) based on deep learning tracks multimorbidity, immunosenescence, frailty and cardiovascular aging",Nature Aging,10.1038/s43587-021-00082-y,https://www.nature.com/articles/s43587-021-00082-y
PUB033,2021,"Jansen, Rick; Han, Laura KM; Verhoeven, Josine E; Aberg, Karolina A; van den Oord, Edwin CGJ; Milaneschi, Yuri; Penninx, Brenda WJH",An integrative study of five biological clocks in somatic and mental health,eLife,10.7554/eLife.59479,https://doi.org/10.7554/eLife.59479
PUB034,2021,"Stephan, Yannick; Sutin, Angelina R.; Luchetti, Martina; Terracciano, Antonio",An older subjective age is related to accelerated epigenetic aging,Psychology and Aging,10.1037/pag0000607,https://psycnet.apa.org/record/2021-43536-001
PUB035,2022,"Robinson, Natassia; Casement, John; Gunter, Marc J.; Huybrechts, Inge; Agudo, Antonio; Barranco, Miguel Rodr°guez; Eichelmann, Fabian; Johnson, Theron; Kaaks, Rudolf; Pala, Valeria; Panico, Salvatore; Sandanger, Torkjel M.; Schultze, Matthias B.; Travis, Ruth C.; Tumino, Rosario; Vineis, Paolo; Weiderpass, Elisabete; Skinner, Roderick; Sharp, Linda; McKay, Jill A.; Strathdee, Gordon",Anti-cancer therapy is associated with long-term epigenomic changes in childhood cancer survivors,British Journal of Cancer,10.1038/s41416-022-01792-9,https://www.nature.com/articles/s41416-022-01792-9
PUB036,2022,"Kim, Catherine; Puterman, Eli; Hou, Lifang; Slaughter, James C.; Terry, James G.; Wellons, Melissa F.",AntimÅllerian hormone and leukocyte aging markers in the Coronary Artery Risk Development in Young Adults study,Fertility and Sterility,10.1016/j.fertnstert.2022.03.021,https://www.sciencedirect.com/science/article/pii/S0015028222002424
PUB037,2022,"Inkster, Amy M.; Duarte-Guterman, Paula; Albert, Arianne Y.; Barha, Cindy K.; Galea, Liisa A. M.; Robinson, Wendy P.",Are sex differences in cognitive impairment reflected in epigenetic age acceleration metrics?,Neurobiology of Aging,10.1016/j.neurobiolaging.2021.09.022,https://www.sciencedirect.com/science/article/pii/S0197458021003031
PUB038,2021,"Poloni, Chad; Szyf, Moshe; Cheishvili, David; Tsoukas, Christos M",Are the Healthy Vulnerable? Cytomegalovirus Seropositivity in Healthy Adults Is Associated With Accelerated Epigenetic Age and Immune Dysregulation,The Journal of Infectious Diseases,10.1093/infdis/jiab365,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8344607/
PUB040,2022,"Ma, Qiong; Li, Bo-Lin; Yang, Lei; Zhang, Miao; Feng, Xin-Xin; Li, Qian; Liu, Hui; Gao, Ya-Jie; Ma, Wen-Zhuo; Shi, Rui-Juan; Xue, Yan-Bo; Zheng, Xiao-Pu; Gao, Ke; Mu, Jian-Jun",Association between Phenotypic Age and Mortality in Patients with Multivessel Coronary Artery Disease,Disease Markers,10.1155/2022/4524032,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8776473/
PUB041,2022,"Wang, Zeyuan; Hui, Qin; Goldberg, Jack; Smith, Nicholas; Kaseer, Belal; Murrah, Nancy; Levantsevych, Oleksiy M.; Shallenberger, Lucy; Diggers, Emily; Bremner, J. Douglas; Vaccarino, Viola; Sun, Yan V.",Association between Posttraumatic Stress Disorder and Epigenetic Age Acceleration in a Sample of Twins,Psychosomatic medicine,10.1097/PSY.0000000000001028,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8831461/
PUB042,2021,"Pottinger, Tess D.; Khan, Sadiya S.; Zheng, Yinan; Zhang, Wei; Tindle, Hilary A.; Allison, Matthew; Wells, Gretchen; Shadyab, Aladdin H.; Nassir, Rami; Martin, Lisa Warsinger; Manson, JoAnn E.; Lloyd-Jones, Donald M.; Greenland, Philip; Baccarelli, Andrea A.; Whitsel, Eric A.; Hou, Lifang",Association of cardiovascular health and epigenetic age acceleration,Clinical Epigenetics,10.1186/s13148-021-01028-2,https://doi.org/10.1186/s13148-021-01028-2
PUB043,2021,"Xiao, Canhua; Miller, Andrew H.; Peng, Gang; Levine, Morgan E.; Conneely, Karen N.; Zhao, Hongyu; Eldridge, Ronald C.; Wommack, Evanthia C.; Jeon, Sangchoon; Higgins, Kristin A.; Shin, Dong M.; Saba, Nabil F.; Smith, Alicia K.; Burtness, Barbara; Park, Henry S.; Irwin, Melinda L.; Ferrucci, Leah M.; Ulrich, Bryan; Qian, David C.; Beitler, Jonathan J.; Bruner, Deborah W.","Association of Epigenetic Age Acceleration With Risk Factors, Survival, and Quality of Life in Patients With Head and Neck Cancer",International Journal of Radiation Oncology*Biology*Physics,10.1016/j.ijrobp.2021.04.002,https://www.sciencedirect.com/science/article/pii/S036030162100362X
PUB044,2022,"Lucia, Rachel M.; Huang, Wei-Lin; Pathak, Khyatiben V.; McGilvrey, Marissa; David-Dirgo, Victoria; Alvarez, Andrea; Goodman, Deborah; Masunaka, Irene; Odegaard, Andrew O.; Ziogas, Argyrios; Pirrotte, Patrick; Norden-Krichmar, Trina M.; Park, Hannah Lui",Association of Glyphosate Exposure with Blood DNA Methylation in a Cross-Sectional Study of Postmenopausal Women,Environmental Health Perspectives,10.1289/EHP10174,https://ehp.niehs.nih.gov/doi/10.1289/EHP10174
PUB045,2022,"Hamlat, Elissa J.; Adler, Nancy E.; Laraia, Barbara; Surachman, Agus; Lu, Ake T.; Zhang, Joshua; Horvath, Steve; Epel, Elissa S.",Association of subjective social status with epigenetic aging among Black and White women,Psychoneuroendocrinology,10.1016/j.psyneuen.2022.105748,https://www.sciencedirect.com/science/article/pii/S0306453022000890
PUB046,2022,"Bõstrand, Sunniva M. K.; Vaher, Kadi; de Nooij, Laura; Harris, Matthew A.; Cole, James H.; Cox, Simon R.; Marioni, Riccardo E.; McCartney, Daniel L.; Walker, Rosie M.; McIntosh, Andrew M.; Evans, Kathryn L.; Whalley, Heather C.; Wootton, Robyn E.; Clarke, Toni-Kim",Associations between alcohol use and accelerated biological ageing,Addiction Biology,10.1111/adb.13100,https://onlinelibrary.wiley.com/doi/abs/10.1111/adb.13100
PUB047,2022,"Xiao, Lili; Zan, Gaohui; Liu, Chaoqun; Xu, Xia; Li, Longman; Chen, Xing; Zhang, Zhiyong; Yang, Xiaobo",Associations Between Blood Pressure and Accelerated DNA Methylation Aging,Journal of the American Heart Association,10.1161/JAHA.121.022257,https://www.ahajournals.org/doi/10.1161/JAHA.121.022257
PUB048,2021,"Crimmins, Eileen M; Thyagarajan, Bharat; Levine, Morgan E; Weir, David R; Faul, Jessica","Associations of Age, Sex, Race/Ethnicity, and Education With 13 Epigenetic Clocks in a Nationally Representative U.S. Sample: The Health and Retirement Study",The Journals of Gerontology Series A: Biological Sciences and Medical Sciences,10.1093/gerona/glab016,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8140049/
PUB049,2021,"Stephenson, Mallory; Bollepalli, Sailalitha; Cazaly, Emma; Salvatore, Jessica E.; Barr, Peter; Rose, Richard J.; Dick, Danielle; Kaprio, Jaakko; Ollikainen, Miina",Associations of Alcohol Consumption with Epigenome-Wide DNA Methylation and Epigenetic Age Acceleration: Individual-Level and Co-twin Comparison Analyses,"Alcoholism, clinical and experimental research",10.1111/acer.14528,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8120951/
PUB050,2021,"Kresovich, Jacob K; Garval, Emma L; Martinez Lopez, Alexandra M; Xu, Zongli; Niehoff, Nicole M; White, Alexandra J; Sandler, Dale P; Taylor, Jack A",Associations of Body Composition and Physical Activity Level With Multiple Measures of Epigenetic Age Acceleration,American Journal of Epidemiology,10.1093/aje/kwaa251,https://doi.org/10.1093/aje/kwaa251
PUB051,2021,"Monasso, Giulietta S.; KÅpers, Leanne K.; Jaddoe, Vincent W. V.; Heil, Sandra G.; Felix, Janine F.","Associations of circulating folate, vitamin B12 and homocysteine concentrations in early pregnancy and cord blood with epigenetic gestational age: the Generation R Study",Clinical Epigenetics,10.1186/s13148-021-01065-x,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8082638/
PUB052,2021,"Nwanaji-Enwerem, Jamaji C; Laan, Lars Van Der; Avakame, Elorm F; Scott, Kristan A; Burris, Heather H; Cardenas, Andres",Associations of DNA Methylation Mortality Risk Markers with Congenital Microcephaly from Zika Virus: A Study of Brazilian Children Less than 4 Years of Age,Journal of Tropical Pediatrics,10.1093/tropej/fmab020,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8022928/
PUB053,2021,"Lin, Wan-Yu; Wang, Yu-Cyuan; Teng, I-Hsuan; Liu, Chi; Lou, Xiang-Yang","Associations of five obesity metrics with epigenetic age acceleration: Evidence from 2,474 Taiwan Biobank participants",Obesity,10.1002/oby.23255,https://onlinelibrary.wiley.com/doi/abs/10.1002/oby.23255
PUB057,2021,"Dada, Oluwagbenga; Adanty, Christopher; Dai, Nasia; Jeremian, Richie; Alli, Sauliha; Gerretsen, Philip; Graff, Ariel; Strauss, John; De Luca, Vincenzo",Biological aging in schizophrenia and psychosis severity: DNA methylation analysis,Psychiatry Research,10.1016/j.psychres.2020.113646,https://www.sciencedirect.com/science/article/pii/S0165178120333072
PUB058,2022,"Campagna, Maria Pia; Xavier, Alexandre; Stankovich, Jim; Maltby, Vicki; Slee, Mark; Kilpatrick, Trevor; Scott, Rodney J.; Butzkueven, Helmut; Lechner-Scott, Jeannette; Lea, Rodney; Jokubaitis, Vilija",Birth history is associated with whole-blood and T-cell methylation patterns in relapse onset multiple sclerosis,,10.1101/2022.03.24.22272917,https://www.medrxiv.org/content/10.1101/2022.03.24.22272917v1
PUB059,2022,"Kuzawa, Christopher W.; Ryan, Calen P.; Adair, Linda S.; Lee, Nanette R.; Carba, Delia B.; MacIsaac, Julia L.; Dever, Kristy; Atashzay, Parmida; Kobor, Michael S.; McDade, Thomas W.","Birth weight and maternal energy status during pregnancy as predictors of epigenetic age acceleration in young adults from metropolitan Cebu, Philippines",Epigenetics,10.1080/15592294.2022.2070105,https://doi.org/10.1080/15592294.2022.2070105
PUB060,2021,"Madden, Rebecca A.; McCartney, Daniel L.; Walker, Rosie M.; Hillary, Robert F.; Bermingham, Mairead L.; Rawlik, Konrad; Morris, Stewart W.; Campbell, Archie; Porteous, David J.; Deary, Ian J.; Evans, Kathryn L.; Hafferty, Jonathan; McIntosh, Andrew M.; Marioni, Riccardo E.",Birth weight associations with DNA methylation differences in an adult population,Epigenetics,10.1080/15592294.2020.1827713,https://doi.org/10.1080/15592294.2020.1827713
PUB061,2021,"SillanpÑÑ, Elina; Heikkinen, Aino; KankaanpÑÑ, Anna; Paavilainen, Aini; Kujala, Urho M.; Tammelin, Tuija H.; Kovanen, Vuokko; SipilÑ, Sarianna; PietilÑinen, Kirsi H.; Kaprio, Jaakko; Ollikainen, Miina; Laakkonen, Eija K.",Blood and skeletal muscle ageing determined by epigenetic clocks and their associations with physical activity and functioning,Clinical Epigenetics,10.1186/s13148-021-01094-6,https://doi.org/10.1186/s13148-021-01094-6
PUB063,2021,"de Oliveira, K†tia Cristina; Camilo, Caroline; Gastaldi, Vin°cius Daguano; Sant'Anna Feltrin, Arthur; Lisboa, Bianca Cristina Garcia; de Jesus Rodrigues de Paula, Vanessa; Moretto, Ariane Cristine; Lafer, Beny; Hoexter, Marcelo Queiroz; Miguel, Euripedes Constantino; Maschietto, Mariana; Akiyama, êrika Dionisio; Grinberg, Lea Tenenholz; Leite, Renata Elaine Paraizo; Suemoto, Claudia Kimie; de Lucena Ferretti-Rebustini, Renata Eloah; Pasqualucci, Carlos Augusto; Jacob-Filho, Wilson; Brentani, Helena; Biobank for Aging Studies Group",Brain areas involved with obsessive-compulsive disorder present different DNA methylation modulation,BMC Genomic Data,10.1186/s12863-021-00993-0,https://doi.org/10.1186/s12863-021-00993-0
PUB064,2021,"Carugno, Michele; Maggioni, Cristina; Ruggiero, Vincenzo; Crespi, Eleonora; Monti, Paola; Ferrari, Luca; Pesatori, Angela Cecilia",Can Night Shift Work Affect Biological Age? Hints from a Cross-Sectional Study on Hospital Female Nurses,International Journal of Environmental Research and Public Health,10.3390/ijerph182010639,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8535512/
PUB065,2022,"Lemke, Elisa; Vetter, Valentin Max; Berger, Nora; Banszerus, Verena Laura; Kînig, Maximilian; Demuth, Ilja",Cardiovascular health is associated with the epigenetic clock in the Berlin Aging Study II (BASE-II),Mechanisms of Ageing and Development,10.1016/j.mad.2021.111616,https://www.sciencedirect.com/science/article/pii/S0047637421001895
PUB067,2021,"Dieckmann, Linda; Lahti-Pulkkinen, Marius; Kvist, Tuomas; Lahti, Jari; DeWitt, Peter E.; Cruceanu, Cristiana; Laivuori, Hannele; Sammallahti, Sara; Villa, Pia M.; Suomalainen-Kînig, Sanna; Eriksson, Johan G.; Kajantie, Eero; Raikkînen, Katri; Binder, Elisabeth B.; Czamara, Darina",Characteristics of epigenetic aging across gestational and perinatal tissues,Clinical Epigenetics,10.1186/s13148-021-01080-y,https://doi.org/10.1186/s13148-021-01080-y
PUB069,2021,"Heinsberg, Lacey W.; Liu, Dongjing; Shaffer, John R.; Weeks, Daniel E.; Conley, Yvette P.",Characterization of cerebrospinal fluid DNA methylation age during the acute recovery period following aneurysmal subarachnoid hemorrhage,Epigenetics communications,10.1186/s43682-021-00002-6,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8787331/
PUB070,2021,"Maddock, Jane; Castillo-Fernandez, Juan; Wong, Andrew; Ploubidis, George B.; Kuh, Diana; Bell, Jordana T.; Hardy, Rebecca",Childhood growth and development and DNA methylation age in mid-life,Clinical Epigenetics,10.1186/s13148-021-01138-x,https://doi.org/10.1186/s13148-021-01138-x
PUB071,2022,"Das, Aniruddha","Childhood police encounters, social isolation and epigenetic age acceleration among older U.S. adults",Social Science & Medicine,10.1016/j.socscimed.2022.114967,https://www.sciencedirect.com/science/article/pii/S0277953622002738
PUB072,2022,"Barton, Allen W.; Yu, Tianyi; Gong, Qiujie; Miller, Gregory E.; Chen, Edith; Brody, Gene H.","Childhood poverty, immune cell aging, and African Americans' insulin resistance: A prospective study",Child Development,10.1111/cdev.13795,https://onlinelibrary.wiley.com/doi/abs/10.1111/cdev.13795
PUB073,2021,"Nachun, Daniel; Lu, Ake T.; Bick, Alexander G.; Natarajan, Pradeep; Weinstock, Joshua; Szeto, Mindy D.; Kathiresan, Sekar; Abecasis, Goncalo; Taylor, Kent D.; Guo, Xiuqing; Tracy, Russ; Durda, Peter; Liu, Yongmei; Johnson, Craig; Rich, Stephen S.; Van Den Berg, David; Laurie, Cecilia; Blackwell, Tom; Papanicolaou, George J.; Correa, Adolfo; Raffield, Laura M.; Johnson, Andrew D.; Murabito, Joanne; Manson, JoAnn E.; Desai, Pinkal; Kooperberg, Charles; Assimes, Themistocles L.; Levy, Daniel; Rotter, Jerome I.; Reiner, Alex P.; Whitsel, Eric A.; Wilson, James G.; Horvath, Steve; Jaiswal, Siddhartha",Clonal hematopoiesis associated with epigenetic aging and clinical outcomes,Aging Cell,10.1111/acel.13366,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8208788/
PUB075,2021,"Peng, Hexiang; Gao, Wenjing; Cao, Weihua; Lv, Jun; Yu, Canqing; Wu, Tao; Wang, Shengfeng; Pang, Zengchang; Yu, Min; Wang, Hua; Wu, Xianping; Li, Liming",Combined healthy lifestyle score and risk of epigenetic aging: a discordant monozygotic twin study,Aging (Albany NY),10.18632/aging.203022,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8202852/
PUB076,2021,"Li, Xiangwei; Zhang, Yan; GÖo, X?n; Holleczek, Bernd; Schîttker, Ben; Brenner, Hermann",Comparative validation of three DNA methylation algorithms of ageing and a frailty index in relation to mortality: results from the ESTHER cohort study,eBioMedicine,10.1016/j.ebiom.2021.103686,https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(21)00480-1/fulltext
PUB077,2021,"CronjÇ, HÇlÇne T; Nienaber-Rousseau, Cornelie; Min, Josine L; Green, Fiona R; Elliott, Hannah R; Pieters, Marlien",Comparison of DNA methylation clocks in Black South African men,Epigenomics,10.2217/epi-2020-0333,https://www.futuremedicine.com/doi/full/10.2217/epi-2020-0333
