Factor_category,Multiple_cat1,Multiple_cat2,Multiple_cat3,Factor_more_refined,Factor_refined,Clock_C,N total,Tissue_category,Race_Ethnicity,Sex,Twin_study,Cohort_C,Link
MH,,,,Anxiety,Anxiety disorder,Horvath,56,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,76,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,76,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
MH,,,,Anxiety,Anxiety disorder,Horvath,76,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
Other,,,,Telomere length,Telomere length,Horvath,76,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
Other,,,,Telomere length,Telomere length,Horvath,76,Saliva,Caucasian;African Brazilian;mixed,Both,No,Recruited,https://www.nature.com/articles/s41598-021-87045-w#Sec16
BodyComposition,,,,BMI,BMI,Horvath,921,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
BodyComposition,,,,BMI,BMI,Hannum,996,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
BodyComposition,,,,BMI,BMI,Hannum,1013,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
BodyComposition,,,,BMI,BMI,Horvath,1013,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Cancer,Horvath,870,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Cancer,Hannum,938,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Cancer,Hannum,953,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Cancer,Horvath,953,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasm of urinary tract,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasm of urinary tract,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasm of urinary tract,Hannum,976,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasm of urinary tract,Horvath,976,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasms of ill-defined;secondary and unspecified sites,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasms of ill-defined;secondary and unspecified sites,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasms of ill-defined;secondary and unspecified sites,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasms of ill-defined;secondary and unspecified sites,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasms of male genital organs,Horvath,883,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasms of male genital organs,Hannum,955,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasms of male genital organs,Hannum,970,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cancer,,,,Cancer,Malignant neoplasms of male genital organs,Horvath,970,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Blood pressure,Systolic blood pressure (SBP),Horvath,924,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Blood pressure,Systolic blood pressure (SBP),Hannum,1000,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Blood pressure,Systolic blood pressure (SBP),Hannum,1017,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Blood pressure,Systolic blood pressure (SBP),Horvath,1017,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Cardiovascular disease,Horvath,796,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Cardiovascular disease,Hannum,856,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Cardiovascular disease,Hannum,869,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Cardiovascular disease,Horvath,869,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Cerebrovascular disease,Horvath,887,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Cerebrovascular disease,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Cerebrovascular disease,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Cerebrovascular disease,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Diseases of arteries;arterioles and capillaries,Horvath,885,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Diseases of arteries;arterioles and capillaries,Hannum,957,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Diseases of arteries;arterioles and capillaries,Hannum,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Diseases of arteries;arterioles and capillaries,Horvath,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Hypertensive disease,Horvath,846,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Hypertensive disease,Hannum,912,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Hypertensive disease,Hannum,926,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Hypertensive disease,Horvath,926,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Ischaemic heart disease,Horvath,865,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Ischaemic heart disease,Hannum,933,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Ischaemic heart disease,Horvath,948,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Ischaemic heart disease,Hannum,948,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Other and unspecified disorders of the circulatory system,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Other and unspecified disorders of the circulatory system,Hannum,960,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Other and unspecified disorders of the circulatory system,Hannum,975,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Other and unspecified disorders of the circulatory system,Horvath,975,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Other forms of heart disease,Horvath,873,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Other forms of heart disease,Hannum,942,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Other forms of heart disease,Hannum,956,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Cardiovascular disease,Other forms of heart disease,Horvath,956,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Total cholesterol,Total cholesterol,Horvath,952,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Total cholesterol,Total cholesterol,Hannum,1027,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Total cholesterol,Total cholesterol,Hannum,1044,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Cardiovascular,,,,Total cholesterol,Total cholesterol,Horvath,1044,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Diet,,,,Diet,Nutritional deficiencies,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Diet,,,,Diet,Nutritional deficiencies,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Diet,,,,Diet,Nutritional deficiencies,Hannum,976,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Diet,,,,Diet,Nutritional deficiencies,Horvath,976,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Diabetes,Diabetes,Horvath,882,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Diabetes,Diabetes,Hannum,954,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Diabetes,Diabetes,Hannum,968,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Diabetes,Diabetes,Horvath,968,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Endocrine disease,Endocrine disease,Horvath,865,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Endocrine disease,Endocrine disease,Hannum,936,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Endocrine disease,Endocrine disease,Hannum,950,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Endocrine disease,Endocrine disease,Horvath,950,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Metabolic disorders,Metabolic disorders,Horvath,879,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Metabolic disorders,Metabolic disorders,Hannum,950,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Metabolic disorders,Metabolic disorders,Hannum,965,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Metabolic disorders,Metabolic disorders,Horvath,965,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Thyroid diseases,Disorders of thyroid gland,Horvath,880,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Thyroid diseases,Disorders of thyroid gland,Hannum,952,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Thyroid diseases,Disorders of thyroid gland,Hannum,967,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Metabolic/endocrinological,,,,Thyroid diseases,Disorders of thyroid gland,Horvath,967,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Immunology,Blood_markers,,C-reactive protein (CRP),C-reactive protein (CRP),Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Immunology,Blood_markers,,C-reactive protein (CRP),C-reactive protein (CRP),Hannum,956,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Immunology,Blood_markers,,C-reactive protein (CRP),C-reactive protein (CRP),Hannum,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Immunology,Blood_markers,,C-reactive protein (CRP),C-reactive protein (CRP),Horvath,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Derm,,Cancer,Skin cancer,Horvath,887,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Derm,,Cancer,Skin cancer,Hannum,958,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Derm,,Cancer,Skin cancer,Hannum,973,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Derm,,Cancer,Skin cancer,Horvath,973,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Gastrointestinal,,Cancer,Cancer (GI tract),Horvath,885,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Gastrointestinal,,Cancer,Cancer (GI tract),Hannum,957,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Gastrointestinal,,Cancer,Cancer (GI tract),Hannum,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Gastrointestinal,,Cancer,Cancer (GI tract),Horvath,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Haem,,Cancer,Acute lymphoblastic leukemia (ALL),Horvath,757,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Haem,,Cancer,Acute lymphoblastic leukemia (ALL),Hannum,812,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Haem,,Cancer,Acute lymphoblastic leukemia (ALL),Hannum,825,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Haem,,Cancer,Acute lymphoblastic leukemia (ALL),Horvath,825,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Haem,,Cancer,Malignant neoplasm of lymphoid;haematopoietic and related tissues,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Haem,,Cancer,Malignant neoplasm of lymphoid;haematopoietic and related tissues,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Haem,,Cancer,Malignant neoplasm of lymphoid;haematopoietic and related tissues,Hannum,976,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Haem,,Cancer,Malignant neoplasm of lymphoid;haematopoietic and related tissues,Horvath,976,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Obs_gynae,,Cancer,Malignant neoplasms of female genital organs,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Obs_gynae,,Cancer,Malignant neoplasms of female genital organs,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Obs_gynae,,Cancer,Malignant neoplasms of female genital organs,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Obs_gynae,,Cancer,Malignant neoplasms of female genital organs,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Respiratory,,Cancer,Malignant neoplasm of respiratory and intrathoracic organs,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Respiratory,,Cancer,Malignant neoplasm of respiratory and intrathoracic organs,Hannum,960,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Respiratory,,Cancer,Malignant neoplasm of respiratory and intrathoracic organs,Hannum,975,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cancer,Respiratory,,Cancer,Malignant neoplasm of respiratory and intrathoracic organs,Horvath,975,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cardiovascular,Rheumatological,,Cardiovascular disease,Chronic rheumatic heart diseases,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cardiovascular,Rheumatological,,Cardiovascular disease,Chronic rheumatic heart diseases,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cardiovascular,Rheumatological,,Cardiovascular disease,Chronic rheumatic heart diseases,Hannum,976,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Cardiovascular,Rheumatological,,Cardiovascular disease,Chronic rheumatic heart diseases,Horvath,976,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Metabolic/endocrinological,Blood_markers,,Cortisol,Cortisol,Horvath,931,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Metabolic/endocrinological,Blood_markers,,Cortisol,Cortisol,Hannum,1007,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Metabolic/endocrinological,Blood_markers,,Cortisol,Cortisol,Horvath,1025,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Metabolic/endocrinological,Blood_markers,,Cortisol,Cortisol,Hannum,1025,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Respiratory,Immunology,Viral,Influenza and pneumonia,Influenza and pneumonia,Horvath,887,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Respiratory,Immunology,Viral,Influenza and pneumonia,Influenza and pneumonia,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Respiratory,Immunology,Viral,Influenza and pneumonia,Influenza and pneumonia,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
Multiple_groups,Respiratory,Immunology,Viral,Influenza and pneumonia,Influenza and pneumonia,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
