ID,Factor,Factor group,Factor category,Multiple_cat1,Multiple_cat2,Multiple_cat3,Topic,Clock,N total,Tissue,Race_Ethnicity,Sex,Twin_study,Cohort,Link
PUB003,Cardiovascular disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,869,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cancer,Cancer,Cancer,,,,Physical health,Horvath,870,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other forms of heart disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,873,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Chronic lower respiratory diseases,Respiratory disease,Respiratory,,,,Physical health,Horvath,873,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Metabolic disorders,Metabolic disorders,Metabolic/endocrinological,,,,Physical health,Horvath,879,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Disorders of thyroid gland,Thyroid diseases,Metabolic/endocrinological,,,,Physical health,Horvath,880,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Diabetes,Diabetes,Metabolic/endocrinological,,,,Physical health,Horvath,882,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other acute lower respiratory infections,Respiratory disease,Multiple_groups,Respiratory,Immunology,,Physical health,Horvath,882,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasms of male genital organs,Cancer,Cancer,,,,Physical health,Horvath,883,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cancer (GI tract),Cancer,Multiple_groups,Cancer,Gastrointestinal,,Physical health,Horvath,885,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Diseases of arteries, arterioles and capillaries",Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,885,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Lung diseases due to external agents,Respiratory disease,Multiple_groups,Respiratory,Environment,,Physical health,Horvath,886,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Skin cancer,Cancer,Multiple_groups,Cancer,Derm,,Physical health,Horvath,887,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cerebrovascular disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,887,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Pulmonary heart disease and diseases of pulmonary circulation,Respiratory disease,Multiple_groups,Respiratory,Cardiovascular,,Physical health,Horvath,887,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Influenza and pneumonia,Influenza and pneumonia,Multiple_groups,Respiratory,Immunology,Viral,Physical health,Horvath,887,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasms of female genital organs,Cancer,Multiple_groups,Cancer,Obs_gynae,,Physical health,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Malignant neoplasms of ill-defined, secondary and unspecified sites",Cancer,Cancer,,,,Physical health,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other diseases of pleura,Respiratory disease,Respiratory,,,,Physical health,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasm of respiratory and intrathoracic organs,Cancer,Multiple_groups,Cancer,Respiratory,,Physical health,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other and unspecified disorders of the circulatory system,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,C-reactive protein (CRP),C-reactive protein (CRP),Multiple_groups,Immunology,Blood_markers,,Physical health,Horvath,888,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other respiratory diseases principally affecting the interstitium,Respiratory disease,Respiratory,,,,Physical health,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Chronic rheumatic heart diseases,Cardiovascular disease,Multiple_groups,Cardiovascular,Rheumatological,,Physical health,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Malignant neoplasm of lymphoid, haematopoietic and related tissues",Cancer,Multiple_groups,Cancer,Haem,,Physical health,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Nutritional deficiencies,Diet,Diet,,,,Lifestyle,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasm of urinary tract,Cancer,Cancer,,,,Physical health,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other diseases of the respiratory system,Respiratory disease,Respiratory,,,,Physical health,Horvath,889,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Hypertensive disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,912,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Diseases of the Respiratory System,Respiratory diseases,Respiratory,,,,Physical health,Hannum,917,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,FEV1,Lung function,Respiratory,,,,Physical health,Horvath,917,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,BMI,BMI,BodyComposition,,,,Physical health,Horvath,921,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Systolic blood pressure (SBP),Blood pressure,Cardiovascular,,,,Physical health,Horvath,924,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Hypertensive disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,926,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Hypertensive disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,926,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cortisol,Cortisol,Multiple_groups,Metabolic/endocrinological,Blood_markers,,Physical health,Horvath,931,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Diseases of the Respiratory System,Respiratory diseases,Respiratory,,,,Physical health,Hannum,932,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Diseases of the Respiratory System,Respiratory diseases,Respiratory,,,,Physical health,Horvath,932,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Ischaemic heart disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,933,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Endocrine disease,Endocrine disease,Metabolic/endocrinological,,,,Physical health,Hannum,936,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cancer,Cancer,Cancer,,,,Physical health,Hannum,938,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other forms of heart disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,942,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Creatinine,Kidney function,Multiple_groups,Renal,Blood_markers,,Physical health,Horvath,943,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Chronic lower respiratory diseases,Respiratory disease,Respiratory,,,,Physical health,Hannum,944,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Ischaemic heart disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,948,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Ischaemic heart disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,948,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Endocrine disease,Endocrine disease,Metabolic/endocrinological,,,,Physical health,Hannum,950,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Endocrine disease,Endocrine disease,Metabolic/endocrinological,,,,Physical health,Horvath,950,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Metabolic disorders,Metabolic disorders,Metabolic/endocrinological,,,,Physical health,Hannum,950,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Disorders of thyroid gland,Thyroid diseases,Metabolic/endocrinological,,,,Physical health,Hannum,952,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Total cholesterol,Total cholesterol,Multiple_groups,Cardiovascular,Metabolic/endocrinological,,Physical health,Horvath,952,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cancer,Cancer,Cancer,,,,Physical health,Horvath,953,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cancer,Cancer,Cancer,,,,Physical health,Hannum,953,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Diabetes,Diabetes,Metabolic/endocrinological,,,,Physical health,Hannum,954,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other acute lower respiratory infections,Respiratory disease,Multiple_groups,Respiratory,Immunology,,Physical health,Hannum,954,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasms of male genital organs,Cancer,Cancer,,,,Physical health,Hannum,955,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other forms of heart disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,956,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,C-reactive protein (CRP),C-reactive protein (CRP),Multiple_groups,Immunology,Blood_markers,,Physical health,Hannum,956,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other forms of heart disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,956,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cancer (GI tract),Cancer,Multiple_groups,Cancer,Gastrointestinal,,Physical health,Hannum,957,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Diseases of arteries, arterioles and capillaries",Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,957,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Skin cancer,Cancer,Multiple_groups,Cancer,Derm,,Physical health,Hannum,958,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Lung diseases due to external agents,Respiratory disease,Multiple_groups,Respiratory,Environment,,Physical health,Hannum,958,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasms of female genital organs,Cancer,Multiple_groups,Cancer,Obs_gynae,,Physical health,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Pulmonary heart disease and diseases of pulmonary circulation,Respiratory disease,Respiratory,Respiratory,Cardiovascular,,Physical health,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cerebrovascular disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other diseases of pleura,Respiratory disease,Respiratory,,,,Physical health,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Chronic lower respiratory diseases,Respiratory disease,Respiratory,,,,Physical health,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Chronic lower respiratory diseases,Respiratory disease,Respiratory,,,,Physical health,Horvath,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Malignant neoplasms of ill-defined, secondary and unspecified sites",Cancer,Cancer,,,,Physical health,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Influenza and pneumonia,Influenza and pneumonia,Multiple_groups,Respiratory,Immunology,Viral,Physical health,Hannum,959,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other and unspecified disorders of the circulatory system,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,960,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasm of respiratory and intrathoracic organs,Cancer,Multiple_groups,Cancer,Respiratory,,Physical health,Hannum,960,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other respiratory diseases principally affecting the interstitium,Respiratory disease,Respiratory,,,,Physical health,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Chronic rheumatic heart diseases,Cardiovascular disease,Multiple_groups,Cardiovascular,Rheumatological,,Physical health,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasm of urinary tract,Cancer,Cancer,,,,Physical health,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Nutritional deficiencies,Diet,Diet,,,,Lifestyle,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other diseases of the respiratory system,Respiratory disease,Respiratory,,,,Physical health,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Malignant neoplasm of lymphoid, haematopoietic and related tissues",Cancer,Multiple_groups,Cancer,Haem,,Physical health,Hannum,961,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Metabolic disorders,Metabolic disorders,Metabolic/endocrinological,,,,Physical health,Hannum,965,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Metabolic disorders,Metabolic disorders,Metabolic/endocrinological,,,,Physical health,Horvath,965,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Disorders of thyroid gland,Thyroid diseases,Metabolic/endocrinological,,,,Physical health,Hannum,967,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Disorders of thyroid gland,Thyroid diseases,Metabolic/endocrinological,,,,Physical health,Horvath,967,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Diabetes,Diabetes,Metabolic/endocrinological,,,,Physical health,Hannum,968,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Diabetes,Diabetes,Metabolic/endocrinological,,,,Physical health,Horvath,968,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other acute lower respiratory infections,Respiratory disease,Multiple_groups,Respiratory,Immunology,,Physical health,Horvath,969,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other acute lower respiratory infections,Respiratory disease,Multiple_groups,Respiratory,Immunology,,Physical health,Hannum,969,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasms of male genital organs,Cancer,Cancer,,,,Physical health,Horvath,970,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasms of male genital organs,Cancer,Cancer,,,,Physical health,Hannum,970,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cancer (GI tract),Cancer,Multiple_groups,Cancer,Gastrointestinal,,Physical health,Hannum,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Diseases of arteries, arterioles and capillaries",Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Diseases of arteries, arterioles and capillaries",Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cancer (GI tract),Cancer,Multiple_groups,Cancer,Gastrointestinal,,Physical health,Horvath,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,C-reactive protein (CRP),C-reactive protein (CRP),Multiple_groups,Immunology,Blood_markers,,Physical health,Hannum,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,C-reactive protein (CRP),C-reactive protein (CRP),Multiple_groups,Immunology,Blood_markers,,Physical health,Horvath,972,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Skin cancer,Cancer,Multiple_groups,Cancer,Derm,,Physical health,Horvath,973,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Skin cancer,Cancer,Multiple_groups,Cancer,Derm,,Physical health,Hannum,973,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Lung diseases due to external agents,Respiratory disease,Multiple_groups,Respiratory,Environment,,Physical health,Horvath,973,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Lung diseases due to external agents,Respiratory disease,Multiple_groups,Respiratory,Environment,,Physical health,Hannum,973,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasms of female genital organs,Cancer,Multiple_groups,Cancer,Obs_gynae,,Physical health,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Malignant neoplasms of female genital organs,Cancer,Multiple_groups,Cancer,Obs_gynae,,Physical health,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cerebrovascular disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Pulmonary heart disease and diseases of pulmonary circulation,Respiratory disease,Multiple_groups,Respiratory,Cardiovascular,,Physical health,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Influenza and pneumonia,Influenza and pneumonia,Multiple_groups,Respiratory,Immunology,Viral,Physical health,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Malignant neoplasms of ill-defined, secondary and unspecified sites",Cancer,Cancer,,,,Physical health,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Pulmonary heart disease and diseases of pulmonary circulation,Respiratory disease,Multiple_groups,Respiratory,Cardiovascular,,Physical health,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Cerebrovascular disease,Cardiovascular disease,Cardiovascular,,,,Physical health,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other diseases of pleura,Respiratory disease,Respiratory,,,,Physical health,Horvath,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Other diseases of pleura,Respiratory disease,Respiratory,,,,Physical health,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,Influenza and pneumonia,Influenza and pneumonia,Multiple_groups,Respiratory,Immunology,Viral,Physical health,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
PUB003,"Malignant neoplasms of ill-defined, secondary and unspecified sites",Cancer,Cancer,,,,Physical health,Hannum,974,Blood,,Both,No,Multiple_cohorts,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8833109/
